Date,NAV,Change,Change(%),Fund Name,Plan,AMC Name,Launch Date,AUM (Crore),TER (%),Invested Amount,Current Value,Return (%),YTM,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8
2023-08-18,1325.2281,0.15,0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-17,1325.0734,1.09,0.08,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-14,1323.9853,0.8,0.06,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-11,1323.1841,0.06,0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-10,1323.1235,0.31,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-09,1322.818,0.76,0.06,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-08,1322.0611,0.3,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-07,1321.7585,1.04,0.08,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-04,1320.722,0.06,0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-03,1320.6571,0.25,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
